Location name,Amount spent (MXN)
Aguascalientes,11560
Baja California,30144
Baja California Sur,2704
Campeche,2988
Chiapas,8707
Chihuahua,13788
Coahuila de Zaragoza,109000
Colima,10739
Distrito Federal,99608
Durango,4352
Guanajuato,21825
Guerrero,5737
Hidalgo,6441
Jalisco,144081
Michoacán de Ocampo,16955
Morelos,6583
Nayarit,3140
Nuevo León,48575
Oaxaca,7678
Puebla,14897
Querétaro Arteaga,13208
Quintana Roo,15604
San Luis Potosi,8051
Sinaloa,10199
Sonora,11718
State of Mexico,70018
Tabasco,6309
Tamaulipas,9591
Tlaxcala,2584
Unknown,≤100
Veracruz,21400
Yucatán,22135
Zacatecas,3583
