Location name,Amount spent (SEK)
Blekinge County,3482
Dalarna County,7243
Gotland County,1769
Gävleborg County,7333
Halland County,8271
Jämtland County,3689
Jönköping County,8832
Kalmar County,5289
Kronoberg County,4256
Norrbotten County,6824
Skåne County,36920
Stockholm County,65987
Södermanland County,7702
Unknown,≤100
Uppsala County,12117
Värmland County,7046
Västerbotten County,8267
Västernorrland County,5683
Västmanland County,6555
Västra Götaland County,45719
Örebro County,7552
Östergötland County,11325
