Location name,Amount spent (UYU)
Artigas Department,137
Canelones Department,576
Cerro Largo Department,146
Colonia Department,231
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,309
Maldonado Department,237
Montevideo Department,4434
Paysandú Department,2521
Rivera Department,640
Rocha Department,≤100
Río Negro Department,130
Salto Department,696
San José Department,106
Soriano Department,125
Tacuarembó Department,141
Treinta y Tres Department,≤100
Unknown,≤100
