Location name,Amount spent (RON)
Alba County,664
Arad County,945
Argeș County,1269
Bacău County,1155
Bihor County,1236
Bistrița-Năsăud County,600
Botoșani County,637
Brașov County,1806
Brăila County,665
Bucharest,6806
Buzău County,902
Caraș-Severin County,639
Cluj County,2381
Constanța County,1463
Covasna County,535
Călărași County,389
Dolj County,1469
Dâmbovița County,927
Galați County,1175
Giurgiu County,330
Gorj County,854
Harghita County,780
Hunedoara County,1103
Ialomița County,408
Iași County,2218
Ilfov County,1201
Maramureș County,992
Mehedinți County,521
Mureș County,1200
Neamț County,1038
Olt County,640
Prahova County,1852
Satu Mare County,716
Sibiu County,1034
Suceava County,1132
Sălaj County,447
Teleorman County,657
Timiș County,2419
Tulcea County,338
Unknown,≤100
Vaslui County,544
Vrancea County,801
Vâlcea County,622
