Location name,Amount spent (USD)
Alabama,10084
Alaska,2369
American Samoa,≤100
Arizona,20161
Arkansas,5504
California,95121
Colorado,18413
Connecticut,9669
Delaware,2959
Florida,70159
Georgia,22083
Guam,≤100
Hawaii,3020
Idaho,3753
Illinois,36530
Indiana,23016
Iowa,8223
Kansas,7272
Kentucky,9758
Louisiana,15400
Maine,4877
Maryland,30110
Massachusetts,14740
Michigan,26068
Minnesota,19974
Mississippi,6001
Missouri,15965
Montana,8123
Nebraska,4189
Nevada,7771
New Hampshire,5036
New Jersey,27068
New Mexico,4108
New York,59058
North Carolina,26097
North Dakota,1340
Northern Mariana Islands,≤100
Ohio,39895
Oklahoma,11716
Oregon,11549
Pennsylvania,42729
Puerto Rico,≤100
Rhode Island,1966
South Carolina,12933
South Dakota,1376
Tennessee,19454
Texas,94950
Unknown,≤100
Utah,6756
Vermont,1872
Virgin Islands (U.S.),≤100
Virginia,25330
Washington,17815
"Washington, District of Columbia",9718
West Virginia,4996
Wisconsin,15938
Wyoming,1321
