Location name,Amount spent (USD)
Alabama,18338
Alaska,3310
American Samoa,≤100
Arizona,33932
Arkansas,10594
California,106854
Colorado,18429
Connecticut,9352
Delaware,4630
Florida,101480
Georgia,39181
Guam,≤100
Hawaii,4386
Idaho,8450
Illinois,42527
Indiana,25841
Iowa,15087
Kansas,14163
Kentucky,20340
Louisiana,19568
Maine,13165
Maryland,24018
Massachusetts,23782
Michigan,43868
Minnesota,18631
Mississippi,14088
Missouri,22989
Montana,5376
Nebraska,6922
Nevada,15399
New Hampshire,8042
New Jersey,35058
New Mexico,8184
New York,64843
North Carolina,50853
North Dakota,3012
Ohio,54978
Oklahoma,17976
Oregon,15804
Pennsylvania,52836
Puerto Rico,≤100
Rhode Island,3289
South Carolina,25554
South Dakota,2864
Tennessee,30922
Texas,127518
Unknown,≤100
Utah,16077
Vermont,1802
Virgin Islands (U.S.),≤100
Virginia,33433
Washington,25258
"Washington, District of Columbia",7733
West Virginia,8539
Wisconsin,20214
Wyoming,2159
