Location name,Amount spent (CAD)
Alberta,6236
British Columbia,8653
Manitoba,8749
New Brunswick,1087
Newfoundland and Labrador,937
Northwest Territories,200
Nova Scotia,2169
Nunavut,152
Ontario,31009
Prince Edward Island,240
Quebec,12988
Saskatchewan,1650
Unknown,≤100
Yukon,145
