Location name,Amount spent (HUF)
Baranya County,244588
Borsod-Abaúj-Zemplén County,365270
Budapest,1542664
Bács-Kiskun County,334848
Békés County,217398
Csongrád County,273851
Fejér County,309590
Győr-Moson-Sopron County,327645
Hajdú-Bihar County,320154
Heves County,171680
Jász-Nagykun-Szolnok County,228953
Komárom-Esztergom County,249171
Nógrád County,105935
Pest County,819529
Somogy County,181160
Szabolcs-Szatmár-Bereg County,303270
Tolna County,143588
Unknown,355
Vas County,177993
Veszprém County,223296
Zala County,182026
