Location name,Amount spent (HUF)
Baranya County,146689
Borsod-Abaúj-Zemplén County,177920
Budapest,938335
Bács-Kiskun County,144429
Békés County,95874
Csongrád County,142388
Fejér County,146033
Győr-Moson-Sopron County,138992
Hajdú-Bihar County,137673
Heves County,81270
Jász-Nagykun-Szolnok County,102721
Komárom-Esztergom County,80329
Nógrád County,41687
Pest County,387153
Somogy County,81098
Szabolcs-Szatmár-Bereg County,125302
Tolna County,71548
Unknown,3821
Vas County,106543
Veszprém County,89497
Zala County,90229
