Location name,Amount spent (EUR)
Alsace,892
Aquitaine,1740
Auvergne,530
Basse-Normandie,578
Bourgogne,796
Bretagne,1382
Centre,1152
Champagne-Ardenne,538
Corse,204
Franche-Comté,427
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,830
Languedoc-Roussillon,1629
Limousin,306
Lorraine,991
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1704
New Caledonia,≤100
Nord-Pas-de-Calais,1912
Pays de la Loire,1600
Picardie,752
Poitou-Charentes,802
Provence-Alpes-Côte d'Azur,2919
Reunion Island,333
Rhône-Alpes,3164
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,6602
