Location name,Amount spent (SEK)
Blekinge County,4793
Dalarna County,8948
Gotland County,2317
Gävleborg County,9597
Halland County,9462
Jämtland County,4356
Jönköping County,10421
Kalmar County,7131
Kronoberg County,5460
Norrbotten County,8987
Skåne County,44779
Stockholm County,79550
Södermanland County,9320
Unknown,≤100
Uppsala County,12786
Värmland County,8833
Västerbotten County,8728
Västernorrland County,8034
Västmanland County,8797
Västra Götaland County,64041
Örebro County,9514
Östergötland County,14506
