Location name,Amount spent (RON)
Alba County,353
Arad County,761
Argeș County,515
Bacău County,1024
Bihor County,398
Bistrița-Năsăud County,263
Botoșani County,378
Brașov County,397
Brăila County,212
Bucharest,2211
Buzău County,320
Caraș-Severin County,192
Cluj County,612
Constanța County,722
Covasna County,144
Călărași County,165
Dolj County,454
Dâmbovița County,326
Galați County,632
Giurgiu County,264
Gorj County,275
Harghita County,249
Hunedoara County,311
Ialomița County,142
Iași County,888
Ilfov County,240
Maramureș County,398
Mehedinți County,169
Mureș County,559
Neamț County,614
Olt County,205
Prahova County,551
Satu Mare County,244
Sibiu County,304
Suceava County,900
Sălaj County,188
Teleorman County,186
Timiș County,869
Tulcea County,133
Unknown,≤100
Vaslui County,221
Vrancea County,460
Vâlcea County,425
