Location name,Amount spent (THB)
Amnat Charoen,207
Ang Thong,211
Ayutthaya,824
Bangkok,48193
Bueng Kan,284
Buriram,801
Chachoengsao,1398
Chai Nat,236
Chaiyaphum,741
Chanthaburi,1402
Chiang Mai,3631
Chiang Rai,1906
Chon Buri,12260
Chumphon,1623
Kalasin,499
Kamphaeng Phet,815
Kanchanaburi,689
Khon Kaen,2094
Krabi,957
Lampang,949
Lamphun,475
Loei,375
Lop Buri,486
Mae Hong Son,174
Maha Sarakham,648
Mukdahan,451
Nakhon Nayok,233
Nakhon Pathom,2296
Nakhon Phanom,2814
Nakhon Ratchasima,3572
Nakhon Sawan,613
Nakhon Si Thammarat,3066
Nan,499
Narathiwat,358
Nong Bua Lam Phu,262
Nong Khai,338
Nonthaburi,2140
Pathum Thani,3091
Pattani,401
Phangnga,340
Phatthalung,902
Phayao,482
Phetchabun,428
Phetchaburi,434
Phichit,560
Phitsanulok,3134
Phrae,301
Phuket,2151
Prachin Buri,1914
Prachuap Khiri Khan,665
Ranong,198
Ratchaburi,1208
Rayong,1126
Roi Et,683
Sa Kaeo,3573
Sakon Nakhon,1423
Samut Prakan,2902
Samut Sakhon,3850
Samut Songkhram,1501
Saraburi,780
Satun,247
Sing Buri,155
Sisaket,736
Songkhla,2398
Sukhothai,382
Suphan Buri,874
Surat Thani,9701
Surin,720
Tak,301
Trang,2167
Trat,400
Ubon Ratchathani,1389
Udon Thani,2278
Unknown,≤100
Uthai Thani,188
Uttaradit,280
Yala Province,345
Yasothon,408
