Location name,Amount spent (MXN)
Aguascalientes,6212
Baja California,17070
Baja California Sur,1999
Campeche,22106
Chiapas,8761
Chihuahua,14883
Coahuila de Zaragoza,47451
Colima,6485
Distrito Federal,84730
Durango,6009
Guanajuato,18642
Guerrero,6991
Hidalgo,8357
Jalisco,345794
Michoacán de Ocampo,13012
Morelos,8250
Nayarit,1967
Nuevo León,26921
Oaxaca,6122
Puebla,12145
Querétaro Arteaga,14833
Quintana Roo,4810
San Luis Potosi,8306
Sinaloa,5651
Sonora,10474
State of Mexico,94335
Tabasco,7039
Tamaulipas,21293
Tlaxcala,3754
Unknown,≤100
Veracruz,13437
Yucatán,11951
Zacatecas,2697
