Location name,Amount spent (HUF)
Baranya County,69935
Borsod-Abaúj-Zemplén County,89055
Budapest,439630
Bács-Kiskun County,82286
Békés County,55859
Csongrád County,84257
Fejér County,70527
Győr-Moson-Sopron County,64503
Hajdú-Bihar County,98135
Heves County,56909
Jász-Nagykun-Szolnok County,76672
Komárom-Esztergom County,47795
Nógrád County,31607
Pest County,153554
Somogy County,55247
Szabolcs-Szatmár-Bereg County,67658
Tolna County,41101
Unknown,≤100
Vas County,41483
Veszprém County,48628
Zala County,39495
