Location name,Amount spent (EUR)
Alsace,648
Aquitaine,1329
Auvergne,400
Basse-Normandie,423
Bourgogne,527
Bretagne,1055
Centre,818
Champagne-Ardenne,372
Corse,144
Franche-Comté,328
French Guiana,≤100
French Polynesia,≤100
French Southern Territories,≤100
Guadeloupe,≤100
Haute-Normandie,645
Languedoc-Roussillon,1174
Limousin,205
Lorraine,776
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1165
New Caledonia,≤100
Nord-Pas-de-Calais,1159
Pays de la Loire,1088
Picardie,704
Poitou-Charentes,594
Provence-Alpes-Côte d'Azur,2189
Reunion Island,104
Rhône-Alpes,2264
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4056
