Location name,Amount spent (PLN)
Greater Poland Voivodeship,4680
Kuyavian-Pomeranian Voivodeship,2650
Lesser Poland Voivodeship,4695
Lower Silesian Voivodeship,3948
Lublin Voivodeship,2211
Lubusz Voivodeship,1206
Masovian Voivodeship,8707
Opole Voivodeship,890
Podkarpackie Voivodeship,2103
Podlaskie Voivodeship,1272
Pomeranian Voivodeship,3278
Silesian Voivodeship,5093
Unknown,≤100
Warmian-Masurian Voivodeship,1535
West Pomeranian Voivodeship,2582
Łódź Voivodeship,3044
Świętokrzyskie Voivodeship,1216
