Location name,Amount spent (EGP)
Al Sharqia Governorate,1222
Alexandria Governorate,1263
Aswan Governorate,138
Asyut Governorate,382
Beheira Governorate,566
Beni Suef Governorate,231
Cairo Governorate,3236
Dakahlia Governorate,818
Damietta Governorate,263
Faiyum Governorate,235
Gharbia Governorate,923
Giza Governorate,956
Ismailia Governorate,159
Kafr el-Sheikh Governorate,324
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,343
Monufia Governorate,413
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,249
Qalyubia Governorate,571
Qena Governorate,224
Red Sea Governorate,133
Sohag Governorate,338
South Sinai Governorate,≤100
Suez Governorate,107
Unknown,≤100
