Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,362
Apurímac Region,≤100
Arequipa Region,482
Ayacucho Region,143
Cajamarca Region,308
Callao,191
Cusco Region,368
Huancavelica Region,≤100
Huánuco Region,153
Ica Region,373
Junín Region,284
La Libertad Region,740
Lambayeque Region,449
Lima Region,3053
Loreto Region,371
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,738
Puno Region,348
San Martín Region,207
Tacna Region,135
Tumbes Region,104
Ucayali Region,157
Unknown,≤100
