Location name,Amount spent (DKK)
Capital Region of Denmark,49304
Central Denmark Region,28825
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,13439
Region of Southern Denmark,26601
Unknown,≤100
Zealand Region,19532
