Location name,Amount spent (USD)
Alabama,14825
Alaska,2831
American Samoa,≤100
Arizona,29891
Arkansas,9426
California,131275
Colorado,25136
Connecticut,9780
Delaware,3406
Florida,73912
Georgia,34356
Guam,≤100
Hawaii,4418
Idaho,5931
Illinois,41009
Indiana,21233
Iowa,18966
Kansas,10672
Kentucky,16811
Louisiana,21923
Maine,5336
Maryland,21685
Massachusetts,19891
Michigan,37599
Minnesota,14684
Mississippi,20145
Missouri,19583
Montana,5083
Nebraska,7424
Nevada,13532
New Hampshire,7527
New Jersey,31642
New Mexico,6700
New York,64660
North Carolina,38685
North Dakota,2509
Northern Mariana Islands,≤100
Ohio,115635
Oklahoma,13842
Oregon,13218
Pennsylvania,51774
Puerto Rico,≤100
Rhode Island,3913
South Carolina,19902
South Dakota,2053
Tennessee,36443
Texas,96786
Unknown,130
Utah,9254
Vermont,1589
Virgin Islands (U.S.),≤100
Virginia,32701
Washington,23655
"Washington, District of Columbia",7093
West Virginia,7302
Wisconsin,19025
Wyoming,1661
