Location name,Amount spent (EUR)
Alsace,558
Aquitaine,1087
Auvergne,338
Basse-Normandie,356
Bourgogne,398
Bretagne,924
Centre,646
Champagne-Ardenne,358
Corse,131
Franche-Comté,259
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,490
Languedoc-Roussillon,1048
Limousin,199
Lorraine,728
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,813
New Caledonia,≤100
Nord-Pas-de-Calais,1023
Pays de la Loire,896
Picardie,515
Poitou-Charentes,507
Provence-Alpes-Côte d'Azur,2116
Reunion Island,≤100
Rhône-Alpes,1801
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,4256
