Location name,Amount spent (HUF)
Baranya County,133081
Borsod-Abaúj-Zemplén County,166244
Budapest,805939
Bács-Kiskun County,150210
Békés County,93135
Csongrád County,160440
Fejér County,135720
Győr-Moson-Sopron County,144831
Hajdú-Bihar County,138946
Heves County,105894
Jász-Nagykun-Szolnok County,95285
Komárom-Esztergom County,119591
Nógrád County,44957
Pest County,352780
Somogy County,91627
Szabolcs-Szatmár-Bereg County,119734
Tolna County,62638
Unknown,≤100
Vas County,85257
Veszprém County,104481
Zala County,85078
