Location name,Amount spent (USD)
Azuay Province,811
Bolívar Province,139
Carchi Province,126
Cañar Province,138
Chimborazo Province,418
Cotopaxi Province,333
El Oro Province,611
Esmeraldas Province,518
Galápagos Province,≤100
Guayas Province,3029
Imbabura Province,398
Loja Province,516
Los Ríos Province,883
Manabí Province,1265
Morona-Santiago Province,160
Napo Province,109
Orellana Province,162
Pastaza Province,118
Pichincha Province,1903
Santa Elena Province,372
Santo Domingo de los Tsáchilas Province,836
Sucumbíos Province,107
Tungurahua Province,239
Unknown,≤100
Zamora-Chinchipe Province,≤100
