Page ID,Page name,Disclaimer,Amount spent (TWD),Number of ads in Library
100489613340306,Samsung,Samsung,62924,8
148475335184300,Greenpeace 綠色和平 (台灣網站),Greenpeace 綠色和平 (台灣網站),32255,58
238507146264909,國際特赦組織 台灣分會 Amnesty International Taiwan,國際特赦組織 台灣分會 Amnesty International Taiwan,27379,138
101896272489490,調查員皮爾森,皮爾森數據Pearson Data,25311,8
105556085524776,Twpca-台灣野良犬照護協會,Twpca-台灣野良犬照護協會,20249,2
693907914395620,良杯製所 Oolab,良杯製所 Oolab,15986,13
152472278103133,賴清德,賴清德,11236,3
106801464127093,目目非營利 MUVE NPO,目目非營利,10339,23
820612794778213,渣打銀行 Taiwan,渣打國際商業銀行,8263,22
219315794887869,聯合報,聯合報股份有限公司,7964,35
241284961029,udn.com 聯合新聞網,udn.com 聯合新聞網,7250,9
211730475524462,大陸委員會,大陸委員會,4804,9
286487218798,遠見雜誌,遠見雜誌,4701,2
177161918975981,基督教芥菜種會,基督教芥菜種會,4647,26
368397373312842,游顥,游顥,4645,6
306276709452272,文化部,文化部,3741,6
179608846121604,富達投信 Fidelity International - Taiwan,富達投信 Fidelity International - Taiwan,3556,2
246324992373019,傅崐萁,傅崐萁,3552,3
1649523455281990,遠山呼喚,遠山呼喚國際貧童教育組織,3464,2
101379699115840,異軍Game Show,These ads ran without a disclaimer,3367,3
1629474157289221,小牛頓,小牛頓科學教育有限公司,3322,11
1636733309982216,黃明賢 屏東縣議員,黃明賢 屏東縣議員,3161,2
142816435924517,DBS 星展銀行,DBS 星展銀行,3130,15
246517878713911,劉家昌,劉家昌工作室,3043,1
109462390640602,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,企業勞動法務管理顧問-勞動契約、勞資爭議、勞務健檢、教育訓練、法律事務、法律風險控管,3031,4
1212271885604995,社團法人愛的延續公益協會,社團法人愛的延續公益協會,2552,1
390569611008641,願景工程 Vision Project,願景工程基金會,2362,29
456170574528072,蘇巧慧,蘇巧慧,1990,2
100714476220256,永續金融先行者聯盟,永續金融先行者聯盟,1969,33
465616346853075,RE-THINK 重新思考,RE-THINK 重新思考,1940,12
127628276929,天下雜誌,天下雜誌,1852,20
151776788178402,TechOrange 科技報橘,流線傳媒股份有限公司,1738,18
139995871775,中國文化大學推廣教育部,中國文化大學推廣教育部,1704,1
107478432346054,郭台銘+1,郭台銘+1,1623,16
188358792124,聯經出版,聯經出版,1610,9
104517709143455,非綠大初選,非綠大初選,1545,5
291116504367985,張秀華,張秀華,1470,3
171759036215066,創世紀不動產教育訓練中心,創世紀不動產教育訓練中心,1446,17
