Location name,Amount spent (RON)
Alba County,515
Arad County,651
Argeș County,1009
Bacău County,638
Bihor County,1013
Bistrița-Năsăud County,1553
Botoșani County,450
Brașov County,2069
Brăila County,411
Bucharest,3315
Buzău County,487
Caraș-Severin County,318
Cluj County,1454
Constanța County,864
Covasna County,331
Călărași County,247
Dolj County,785
Dâmbovița County,718
Galați County,587
Giurgiu County,214
Gorj County,518
Harghita County,578
Hunedoara County,645
Ialomița County,206
Iași County,1187
Ilfov County,548
Maramureș County,869
Mehedinți County,285
Mureș County,934
Neamț County,612
Olt County,342
Prahova County,901
Satu Mare County,472
Sibiu County,657
Suceava County,684
Sălaj County,329
Teleorman County,277
Timiș County,1057
Tulcea County,206
Unknown,≤100
Vaslui County,336
Vrancea County,695
Vâlcea County,523
