Location name,Amount spent (JMD)
Clarendon Parish,≤100
Hanover Parish,≤100
Manchester Parish,≤100
Saint Andrew Parish,≤100
Saint Ann Parish,≤100
Saint Catherine Parish,≤100
Saint Elizabeth Parish,≤100
Saint James Parish,≤100
Saint Thomas Parish,≤100
Trelawny Parish,≤100
Westmoreland Parish,≤100
