Location name,Amount spent (USD)
Azuay Province,779
Bolívar Province,132
Carchi Province,143
Cañar Province,209
Chimborazo Province,569
Cotopaxi Province,586
El Oro Province,737
Esmeraldas Province,394
Galápagos Province,≤100
Guayas Province,3847
Imbabura Province,711
Loja Province,421
Los Ríos Province,705
Manabí Province,1511
Morona-Santiago Province,245
Napo Province,161
Orellana Province,221
Pastaza Province,190
Pichincha Province,2248
Santa Elena Province,431
Santo Domingo de los Tsáchilas Province,447
Sucumbíos Province,174
Tungurahua Province,510
Unknown,≤100
Zamora-Chinchipe Province,189
