Location name,Amount spent (MXN)
Aguascalientes,10336
Baja California,30804
Baja California Sur,4521
Campeche,17532
Chiapas,15121
Chihuahua,51695
Coahuila de Zaragoza,104379
Colima,5439
Distrito Federal,123898
Durango,9051
Guanajuato,106479
Guerrero,10804
Hidalgo,10776
Jalisco,163269
Michoacán de Ocampo,33932
Morelos,21291
Nayarit,4703
Nuevo León,125253
Oaxaca,12578
Puebla,33521
Querétaro Arteaga,35816
Quintana Roo,52244
San Luis Potosi,30186
Sinaloa,10705
Sonora,18711
State of Mexico,99416
Tabasco,10802
Tamaulipas,28660
Tlaxcala,6721
Unknown,≤100
Veracruz,30942
Yucatán,28442
Zacatecas,5537
