Location name,Amount spent (EUR)
Alsace,687
Aquitaine,1206
Auvergne,336
Basse-Normandie,426
Bourgogne,521
Bretagne,937
Centre,765
Champagne-Ardenne,356
Corse,117
Franche-Comté,294
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,698
Languedoc-Roussillon,1044
Limousin,185
Lorraine,838
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,936
New Caledonia,≤100
Nord-Pas-de-Calais,1283
Pays de la Loire,1110
Picardie,647
Poitou-Charentes,454
Provence-Alpes-Côte d'Azur,2056
Reunion Island,≤100
Rhône-Alpes,2303
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3376
