Location name,Amount spent (THB)
Amnat Charoen,2162
Ang Thong,1311
Ayutthaya,8194
Bangkok,212963
Bueng Kan,1544
Buriram,7018
Chachoengsao,5047
Chai Nat,1081
Chaiyaphum,4705
Chanthaburi,7526
Chiang Mai,55855
Chiang Rai,6668
Chon Buri,34266
Chumphon,3115
Kalasin,2779
Kamphaeng Phet,3659
Kanchanaburi,15740
Khon Kaen,19412
Krabi,10051
Lampang,3447
Lamphun,1991
Loei,2336
Lop Buri,3197
Mae Hong Son,1639
Maha Sarakham,3322
Mukdahan,1168
Nakhon Nayok,1041
Nakhon Pathom,6815
Nakhon Phanom,2831
Nakhon Ratchasima,18536
Nakhon Sawan,5169
Nakhon Si Thammarat,13714
Nan,1113
Narathiwat,1799
Nong Bua Lam Phu,1616
Nong Khai,1971
Nonthaburi,14353
Pathum Thani,13522
Pattani,2978
Phangnga,1292
Phatthalung,4139
Phayao,2536
Phetchabun,3620
Phetchaburi,2850
Phichit,3690
Phitsanulok,17785
Phrae,1918
Phuket,35384
Prachin Buri,2653
Prachuap Khiri Khan,3037
Ranong,961
Ratchaburi,5689
Rayong,9095
Roi Et,5017
Sa Kaeo,3168
Sakon Nakhon,4230
Samut Prakan,14303
Samut Sakhon,8328
Samut Songkhram,1256
Saraburi,6149
Satun,1802
Sing Buri,884
Sisaket,4678
Songkhla,22674
Sukhothai,2872
Suphan Buri,17543
Surat Thani,15203
Surin,5887
Tak,2652
Trang,8072
Trat,2500
Ubon Ratchathani,7381
Udon Thani,6545
Unknown,≤100
Uthai Thani,862
Uttaradit,1628
Yala Province,1975
Yasothon,2769
