Page ID,Page name,Disclaimer,Amount spent (IDR),Number of ads in Library
23383061178,Prabowo Subianto,indonesia Adil makmur,23438480,10
101350709331663,G24 News TV,Yayasan Golkar Institut SPKP,19621058,290
104054595928021,Bakti Untuk Rakyat,Bakti Untuk Rakyat,9347189,13
333711983956998,Erwin Aksa,Yayasan Golkar Institute SPKP,3828383,23
102793242742002,Jaksapedia,JAKSAPEDIA,3732851,34
320858334728047,Partai Solidaritas Indonesia,Partai Solidaritas Indonesia,2993991,4
111580301790421,Cak Fauzi JATIM,Cak Fauzi Jatim,2458036,19
108132042285089,Erwin Aksa DKI Jakarta,Yayasan Golkar Institute,2338220,29
1357693677594211,A Muhaimin Iskandar,Kebangkitan Bangsa,2210217,4
100649018546817,GanjarFans,GanjarFans,2190124,55
367381239359,Abah Qomar - Nurul Qomar,Abah Qomar - Nurul Qomar,805121,8
104844282389488,Kelas Digital Marketing,Kelas Digital Marketing,735059,7
111864151754055,Esensi TV,Esensi Tv,733851,18
193237974052689,Partai Keadilan Sejahtera,Partai Keadilan Sejahtera,627832,2
104899195891472,Berita Ganjar Pranowo,Ganjar Nusantara Indonesia,618530,13
39684526732,Wanda Hamidah,Yayasan Infobox,614589,3
104052735675516,Sulut Dukung Ganjar,Ganjar Nusantara Indonesia,520231,8
104830667806476,Melihat Indonesia,Melihat Indonesia,493524,14
1408188616062841,Sofitel Bali Nusa Dua,Sofitel Bali Nusa Dua Beach Resort,482604,3
1500140530273695,Kimia Farma Care,Kimia Farma,465024,1
104427162506872,Fakta Anies,Fakta Anies,456313,24
105903795626960,Ruangcuan.com,Ruangcuan.com,442630,7
107600565668590,Munafri Arifuddin,Yayasan Golkar Institute,441251,11
882638978454921,Raja Juli Antoni,Raja Juli Antoni,427488,2
39253583478,PDI Perjuangan,Muhammad Miftakhunnaim,397056,28
101679818973699,Sahabat Ganjar Pranowo,John Kamnahas,371088,19
101403669397488,Nikmatul Sugiyarto,Nikmatul Sugiyarto,363921,13
112121101796090,Opini 2024,Opini 2024,363097,13
110952238516382,Kiki Daliyo,Kiki Daliyo,362857,13
143840239716746,Indozone.id,PT. INDOZONE MEDIA INDONESIA,313347,12
101674375744514,Media Cuan,Ipta Apipah,271845,16
582402568517453,Coretan Kehidupan,Coretan Kehidupan,259411,10
312490859193724,mensbatik,Bayu Setayudha,258167,10
110314634068233,Fadilah Bisnis,Fadilah Bisnis,257128,7
120493494629294,Pikiran Rakyat,"Aditya Riantiko Akbar, ST",256409,5
100145043048185,Ucapan Partai,Ucapan Partai,250904,18
111805655036485,Humas DPRD Pati,Aditya Rachmat Pamungkas,249504,10
1690573611256871,Pemerintah Kota Manado,Pemerintah Kota Manado,248294,2
106524371346347,NTBSATU.com,NTBSATU.com,239545,6
104217932476562,Ali Badrudin,Aditya Rachmat Pamungkas,229778,6
110865154735990,Koran Harian Tanah Air,Muhammad Miftakhunnaim,222647,23
397603117477041,Lindsey Afsari Puteri,Yayasan Golkar Institute,209375,3
197545083607941,Harian Kompas,Harian Kompas,205208,8
349963858704476,Komit Digital,These ads ran without a disclaimer,201223,11
165114026832502,Grace Natalie,Partai Solidaritas Indonesia,197069,1
101760624522103,DPP Banteng Muda Indonesia,Farid Wahyudi,196634,17
102656349157647,Tugimanisme,Tugimanisme,179887,6
105078282583947,Rumah Kita Korsel,Ganjar Nusantara Indonesia,178667,6
103581752405141,Sobar Harahap,Sobar Harahap,169982,13
