Location name,Amount spent (MXN)
Aguascalientes,22112
Baja California,58767
Baja California Sur,12169
Campeche,31314
Chiapas,63383
Chihuahua,62181
Coahuila de Zaragoza,35341
Colima,20761
Distrito Federal,313333
Durango,13782
Guanajuato,81813
Guerrero,24024
Hidalgo,25842
Jalisco,120424
Michoacán de Ocampo,48438
Morelos,60269
Nayarit,11326
Nuevo León,343153
Oaxaca,30227
Puebla,95607
Querétaro Arteaga,42773
Quintana Roo,95849
San Luis Potosi,33012
Sinaloa,42488
Sonora,43692
State of Mexico,79638
Tabasco,17607
Tamaulipas,50148
Tlaxcala,19085
Unknown,≤100
Veracruz,62089
Yucatán,49863
Zacatecas,13031
