Location name,Amount spent (CZK)
Central Bohemian Region,123342
Hradec Králové Region,54675
Karlovy Vary Region,32828
Liberec Region,47894
Moravian-Silesian Region,134267
Olomouc Region,64695
Pardubice Region,51428
Plzeň Region,63308
Prague,160189
South Bohemian Region,60449
South Moravian Region,125317
Unknown,≤100
Vysočina Region,47260
Zlín Region,54288
Ústí nad Labem Region,102981
