Location name,Amount spent (EUR)
Blagoevgrad Province,≤100
Burgas Province,≤100
Dobrich Province,≤100
Gabrovo Province,≤100
Haskovo Province,≤100
Kardzhali Province,≤100
Kyustendil Province,≤100
Lovech Province,≤100
Montana Province,≤100
Pazardzhik Province,≤100
Pernik Province,≤100
Pleven Province,≤100
Plovdiv Province,≤100
Razgrad Province,≤100
Ruse Province,≤100
Shumen Province,≤100
Silistra Province,≤100
Sliven Province,≤100
Smolyan Province,≤100
Sofia City Province,339
Sofia Province,≤100
Stara Zagora Province,≤100
Targovishte Province,≤100
Unknown,≤100
Varna Province,≤100
Veliko Tarnovo Province,≤100
Vidin Province,≤100
Vratsa Province,≤100
Yambol Province,≤100
