Location name,Amount spent (AUD)
Australian Capital Territory,1150
Jervis Bay Territory,≤100
New South Wales,21215
Norfolk Island,≤100
Northern Territory,642
Queensland,16818
South Australia,4410
Tasmania,2231
Unknown,550
Victoria,19519
Western Australia,8595
