Location name,Amount spent (IDR)
Aceh,935246
Bali,1981654
Bangka–Belitung Islands,440735
Banten,2727862
Bengkulu,954817
Central Java,9872933
Central Kalimantan,1007279
Central Sulawesi,1333229
East Java,9744758
East Kalimantan,1893180
East Nusa Tenggara,2149729
Gorontalo,917928
Jakarta,5767024
Jambi,1254952
Lampung,2235745
Maluku,717529
North Kalimantan,283165
North Maluku,540919
North Sulawesi,1976145
North Sumatra,4451356
Papua (province),1040736
Riau,2295324
Riau Islands Province,963149
South Kalimantan,1028937
South Sulawesi,3023870
South Sumatra,2723387
Southeast Sulawesi,964895
Special Region of Yogyakarta,1776978
Unknown,357
West Java,12532275
West Kalimantan,1787120
West Nusa Tenggara,1986711
West Papua,549160
West Sulawesi,538693
West Sumatra,1315396
