Page ID,Page name,Disclaimer,Amount spent (UYU),Number of ads in Library
165920193432209,Intendencia de Montevideo,Intendencia de Montevideo,5817,22
2332750643467917,Yamandú Costa,José Manuel Gutiérrez Pereira Das Neves,313,1
292074670808351,Frente Amplio,Frente Amplio,309,2
225968600759645,Andrés Lima,Ernesto Dario Castro Rodriguez,291,1
102337244995366,Prudencia Uruguay,Santiago Raffo Arias,218,1
103988995047541,Diputada Nancy Nuñez Soler,Nancy Estela del Pilar Nuñez Soler,212,1
102652064888705,REDUY.net,REDUY,115,1
1496397947313142,Edil Diego Guevara,Diego Enmanuel Guevara Crosi,≤100,1
1769254949995057,Agrupación Libertad,Laura Gascon,≤100,1
112343646991977,te_cuento_mi_viaje_,These ads ran without a disclaimer,≤100,1
436791896382535,Red Eco Alternativo,These ads ran without a disclaimer,≤100,1
103597027708447,SuperPlanet Games,These ads ran without a disclaimer,≤100,1
101801685891012,Revista Knowable,These ads ran without a disclaimer,≤100,2
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,1
347265340270,Architecture Competitions,These ads ran without a disclaimer,≤100,1
1107005629310630,American English for Educators,These ads ran without a disclaimer,≤100,1
131602424169035,Oxfam en Español,These ads ran without a disclaimer,≤100,1
310943025606302,World Cancer Day,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
1243388392422876,Oxfam en Centroamérica,These ads ran without a disclaimer,≤100,2
