Page ID,Page name,Disclaimer,Amount spent (ISK),Number of ads in Library
314036327204,VR,VR,18442,7
429577173821764,Matvælaráðuneytið,matvælaráðuneytið,12328,2
573559522797177,Flokkur fólksins,Flokkur Fólksins,9904,3
423451321043674,Vinstrihreyfingin - grænt framboð,Vinstrihreyfingin - grænt framboð,5004,18
74969168478,Sjálfstæðisflokkurinn í Hafnarfirði,Sjálfstæðisflokkurinn í Hafnarfirði,3373,1
737169626371453,Stundin,Stundin,3028,1
626846780726124,Viðreisn,Viðreisn,2814,4
164555479899,Samfylkingin í Hafnarfirði,Samfylkingin í Hafnarfirði,2580,2
152804904889,Samfylkingin,Samfylkingin,2386,1
192789944066997,Samtök ferðaþjónustunnar,Samtök ferðaþjónustunnar,2056,8
430089884101936,Þingflokkur Pírata,Þingflokkur Pírata,1972,2
584934658344027,Áslaug Arna Sigurbjörnsdóttir,Áslaug Arna Sigurbjörnsdóttir,1920,2
154893001218870,ADHD samtökin,ADHD samtökin,1898,5
137524753533383,Miðflokkurinn,Miðflokkurinn,1634,1
332179950192248,Félag atvinnurekenda,Félag atvinnurekenda,1519,1
184042545536602,Garðabæjarlistinn,Garðabæjarlistinn,1452,2
117923164930140,Lifandi vísindi- Lifandi saga,Guðbjartur Finnbjörnsson,884,2
106979180938014,Samstöðin,Samstöðin ehf,513,1
153705438660098,Þórdís Lóa,Þórdís Þórhallsdóttir,481,1
103503548827625,Diversify Collective,These ads ran without a disclaimer,≤100,1
112749448851,Coca-Cola Europacific Partners,These ads ran without a disclaimer,≤100,1
105915229076498,Rruz Design & Illustration,These ads ran without a disclaimer,≤100,1
130456876990360,European Youth,These ads ran without a disclaimer,≤100,1
159655987425431,Icelandic Art Center,These ads ran without a disclaimer,≤100,2
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,1
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,1
