Location name,Amount spent (PHP)
Autonomous Region in Muslim Mindanao,1257
Bicol Region,12739
Cagayan Valley,3182
Calabarzon,25714
Caraga,1938
Central Luzon,13426
Central Visayas,8379
Cordillera Administrative Region,1951
Davao Region,5745
Eastern Visayas,3801
Ilocos Region,5364
Metro Manila,45763
Mimaropa,2636
Northern Mindanao,5818
Soccsksargen,3524
Unknown,≤100
Western Visayas,9610
Zamboanga Peninsula,3419
