Location name,Amount spent (MYR)
Johor,1440
Kedah,531
Kelantan,296
Kuala Lumpur,1183
Labuan,≤100
Malacca,166
Negeri Sembilan,223
Pahang,283
Penang,563
Perak,474
Perlis,≤100
Putrajaya,≤100
Sabah,338
Sarawak,299
Selangor,2829
Terengganu,744
Unknown,≤100
