Location name,Amount spent (UYU)
Artigas Department,182
Canelones Department,396
Cerro Largo Department,189
Colonia Department,197
Durazno Department,110
Flores Department,≤100
Florida Department,119
Lavalleja Department,114
Maldonado Department,229
Montevideo Department,1748
Paysandú Department,9693
Rivera Department,545
Rocha Department,135
Río Negro Department,164
Salto Department,289
San José Department,≤100
Soriano Department,106
Tacuarembó Department,135
Treinta y Tres Department,136
Unknown,≤100
