Location name,Amount spent (EUR)
Alsace,581
Aquitaine,1333
Auvergne,379
Basse-Normandie,411
Bourgogne,478
Bretagne,1056
Centre,727
Champagne-Ardenne,434
Corse,149
Franche-Comté,329
French Guiana,≤100
French Polynesia,≤100
French Southern Territories,≤100
Guadeloupe,≤100
Haute-Normandie,907
Languedoc-Roussillon,1130
Limousin,200
Lorraine,654
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,1015
New Caledonia,≤100
Nord-Pas-de-Calais,1293
Pays de la Loire,1271
Picardie,613
Poitou-Charentes,539
Provence-Alpes-Côte d'Azur,2304
Reunion Island,144
Rhône-Alpes,2149
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,4603
