Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,497
Berane Municipality,≤100
Bijelo Polje Municipality,471
Budva Municipality,481
Danilovgrad Municipality,243
Herceg Novi Municipality,311
Kolašin Municipality,183
Nikšić Municipality,746
Old Royal Capital Cetinje,237
Petnjica Municipality,≤100
Plav Municipality,163
Pljevlja Municipality,343
Plužine Municipality,≤100
Podgorica Capital City,2939
Rožaje Municipality,331
Tivat Municipality,432
Ulcinj Municipality,621
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
