Page ID,Page name,Disclaimer,Amount spent (COP),Number of ads in Library
103754197881668,Esteban Restrepo,Fredy Esteban Restrepo Taborda,2430763,5
597006313643580,Gobernación del Valle del Cauca,Gobernación Valle del Cauca,1199649,19
108827338788235,Hernando Morales,POR LA DEFENSA DE CALI,1161255,37
61298420594,Eugenio Prieto Soto,Eugenio Prieto Soto,943003,6
108379099286148,Alcaldía Mayor de Bogotá,Alcaldía Mayor de Bogotá,846586,14
307867347023,Partido Alianza Verde,Partido Alianza Verde,769194,3
105598124675352,General Juvenal Díaz,These ads ran without a disclaimer,767394,1
308580499200723,Alcaldía de Medellín,Alcaldia de Medellìn,766337,33
1115184931884092,Albert Corredor,Albert Corredor,636961,6
250224435666342,César Hernández,César Hernández,602654,6
605236949886245,Ferney Silva Idrobo,Ferney Silva Idrobo,499657,3
104351302551385,Camilo Quiroz H,Camilo Quiroz H,480195,5
105598124675352,General Juvenal Díaz,General Juvenal Díaz,427757,2
104133069337469,Diego Torres,Diego Torres,393141,2
103621869176207,Angela Romero - La Revolución del Amor,These ads ran without a disclaimer,386535,129
116379298034788,Elvira Gutierrez,Elvira Gutierrez,375503,2
1259770774053121,Politécnico COHAN - Medellín,Politécnico COHAN - Medellín,309891,11
195575853964886,Rodrigo Lara Restrepo,Movimiento Ciudadano Lara por Bogotá,306764,11
162949777243451,Andrés Julián,Andrés Julián Rendon,304167,2
251292808253299,Canadian College,Canadian College,300174,13
131753023639902,Aldemar Alfaro,Aldemar Alfaro Rivero,272194,5
148349507804,El Tiempo,Casa Editorial El Tiempo,257947,2
194315573916010,Norma Hurtado Sanchez,Norma Hurtado Sánchez,257308,48
100232346317619,David Enrique Arango Quintana,David Enrique Arango Quintana,235282,13
109536228288634,Nuevo Liberalismo Valle del Cauca,Nuevo Liberalismo Valle del Cauca,227211,7
111255844907807,Belén Informa,Belén Informa,222624,1
254413518635171,Carlos Sotomonte,Carlos Sotomonte,219358,5
827309657396301,Yamit Noe Hurtado,Yamit Noe Hurtado,212753,2
1597659560553215,Colombia+20,COMUNICAN SAS EL ESPECTADOR,196103,4
101871502791636,Carlos Acosta Juliao Oficial,Carlos Acosta Juliao Oficial,191546,5
513373825500774,Catalina Ortiz,Catalina Ortiz,190141,13
112155252163421,Sebastián López V.,Sebastian Lopez Valencia,175631,9
605912556122758,Deiby Martinez Cortes,Deiby Martinez Cortes,173870,2
104969865721375,Profes.movimientociudadano,John Bazurto,169734,22
807500072661945,AsoVape,AsoVape,162844,2
109023772053741,Movil Consultores Academy,Movil Consultores Academy,159426,27
105848177845789,All Out en español,All Out Action Fund,158069,6
321789057890530,Secretaría de Movilidad,Secretaría de Movilidad,148150,3
183025852044152,Secretaría de Desarrollo Económico,Secretaría de Desarrollo Económico,145066,2
503621983303342,Oscar Mauricio Toro,Oscar Mauricio Toro Valencia,142865,45
1589652347763879,Aquileo Medina A,Aquileo Medina Arteaga,141256,1
