Page ID,Page name,Disclaimer,Amount spent (PYG),Number of ads in Library
278226125974096,El Paraguayo Independiente,Paraguayo Independiente,245583,32
184860595385745,Ing. Roberto Jiménez - Concejal,Ing. Roberto Jiménez - Concejal,113312,4
103594265451560,Diana Recalde,Diana Recalde,103545,5
117058181423697,Gerardo Bobadilla,Gerardo Bobadilla,81103,2
268616437382220,Oscar Paciello,Oscar Paciello,79752,3
347341592056826,Sergio Estigarribia.,Sergio Estigarribia.,72833,2
103422905337202,Laura Gamarra Intendente,Laura Gamarra Intendente,67152,2
112866004765581,Taurino González,Taurino González,56987,4
132554373464255,La Nación,La Nación,52003,1
1310731702357133,GEN,These ads ran without a disclaimer,50983,1
272098156231873,Diario HOY Paraguay,Diario HOY Paraguay,50983,1
2081242738816473,RTV del Sur,RTV del Sur,50496,1
116747321316881,Javier Ferreira,Javier Ferreira,46866,1
876472822508954,Ahoracde,Portal Digital de Noticias AHORACDE,38802,2
736639773052644,Diario Popular,These ads ran without a disclaimer,35615,1
101209788723937,Dr. Omar Gonzalez,Dr. Omar Gonzalez,25388,3
599371683431175,Cooperativa Cumbre de la Cordillera,Cooperativa Cumbre de la Cordillera,24024,7
176941749043831,YAMIL ESGAIB,YAMIL ESGAIB,22958,1
586900951991270,Ing. Richard Duarte,Ing. Richard Duarte,21850,1
117228538026160,Noticiero Paraguay TV,Noticiero Paraguay TV,21340,1
106216018134855,Rosana Bogado,Rosana Bogado,20483,1
725834240910220,Noticiero Paraguay,Noticiero Paraguay,16932,1
106438588789107,Luis Palacios Intendente,Luis Palacios Intendente,15428,2
137071910500968,Alvaro Grau,Alvaro Grau,14567,1
101113696371801,,Luis Osmar,14183,2
123892278310235,Eduardo Valiente,Eduardo Valiente,12597,2
359307964420456,Terere Cómplice,Centro Interdisciplinario de Investigación Social,12320,1
1073454492740713,Emmanuel Cuevas,Emmanuel Cuevas,11829,1
368247363370300,LATITUD 25,Latitud 25,7283,1
110257495679751,Fundación CIRD,These ads ran without a disclaimer,6775,1
108779854000922,Enrique Quintana,Enrique Quintana,5426,2
157623961572461,Te va encantar,These ads ran without a disclaimer,1909,1
103973527890787,,These ads ran without a disclaimer,122,1
109226351931340,Jimena Gonzalez,These ads ran without a disclaimer,≤100,1
450326391674911,Allianz,These ads ran without a disclaimer,≤100,1
176104589110851,IEEE,These ads ran without a disclaimer,≤100,1
1392286137657957,Jorge Rios Designer,These ads ran without a disclaimer,≤100,1
1133093596709294,Notícias 24h,These ads ran without a disclaimer,≤100,1
572203686296623,Relieved,These ads ran without a disclaimer,≤100,1
141363092729703,DP World,These ads ran without a disclaimer,≤100,1
106950715510480,Luciana Ponce,These ads ran without a disclaimer,≤100,3
250305668489402,Professor Kenny,These ads ran without a disclaimer,≤100,1
