Location name,Amount spent (EUR)
Alsace,435
Aquitaine,1037
Auvergne,283
Basse-Normandie,293
Bourgogne,375
Bretagne,852
Centre,554
Champagne-Ardenne,268
Corse,117
Franche-Comté,224
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,420
Languedoc-Roussillon,894
Limousin,156
Lorraine,551
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,774
New Caledonia,≤100
Nord-Pas-de-Calais,943
Pays de la Loire,867
Picardie,427
Poitou-Charentes,466
Provence-Alpes-Côte d'Azur,1646
Reunion Island,≤100
Rhône-Alpes,1780
Saint Pierre and Miquelon,≤100
Saint-Martin,≤100
Unknown,131
Wallis and Futuna,≤100
Île-de-France,3197
