Location name,Amount spent (NZD)
Auckland Region,1701
Bay of Plenty Region,290
Canterbury,562
Gisborne District,≤100
Hawke's Bay,151
Manawatu-Wanganui,212
Marlborough Region,≤100
Nelson Province,≤100
Northland Region,198
Otago,205
Southland,≤100
Taranaki,110
Tasman District,≤100
Unknown,≤100
Waikato,413
Wellington Region,412
West Coast,≤100
