Location name,Amount spent (ZAR)
Eastern Cape,1015
Free State,802
Gauteng,4700
KwaZulu-Natal,1086
Limpopo,593
Mpumalanga,499
North West,294
Northern Cape,275
Unknown,≤100
Western Cape,6949
