Page ID,Page name,Disclaimer,Amount spent (XAF),Number of ads in Library
166552420658535,Mawete  Média,These ads ran without a disclaimer,147,1
106029341955124,Livre - L'Organisation mondiale des douanes,These ads ran without a disclaimer,≤100,1
104445971773668,TAIHEN Việc Làm,These ads ran without a disclaimer,≤100,1
108271568123706,TAIHEN Sức Khỏe,These ads ran without a disclaimer,≤100,1
109802977882725,Brilliant Talk,These ads ran without a disclaimer,≤100,1
1891933867730555,"Fujian, China",These ads ran without a disclaimer,≤100,2
716810658495271,Kaylee Walker,These ads ran without a disclaimer,≤100,1
106827194681183,Africa Equity Media,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,3
466977946725823,La Journée du Manuscrit,These ads ran without a disclaimer,≤100,1
