Location name,Amount spent (AUD)
Australian Capital Territory,1127
Jervis Bay Territory,≤100
New South Wales,22286
Northern Territory,499
Queensland,8101
South Australia,3142
Tasmania,967
Unknown,≤100
Victoria,10571
Western Australia,4960
