Location name,Amount spent (UYU)
Artigas Department,109
Canelones Department,551
Cerro Largo Department,158
Colonia Department,829
Durazno Department,104
Flores Department,109
Florida Department,113
Lavalleja Department,≤100
Maldonado Department,297
Montevideo Department,2536
Paysandú Department,1183
Rivera Department,350
Rocha Department,≤100
Río Negro Department,182
Salto Department,286
San José Department,115
Soriano Department,≤100
Tacuarembó Department,143
Treinta y Tres Department,≤100
Unknown,≤100
