Location name,Amount spent (PLN)
Greater Poland Voivodeship,5116
Kuyavian-Pomeranian Voivodeship,2148
Lesser Poland Voivodeship,3983
Lower Silesian Voivodeship,3341
Lublin Voivodeship,2022
Lubusz Voivodeship,1007
Masovian Voivodeship,9159
Opole Voivodeship,1222
Podkarpackie Voivodeship,2026
Podlaskie Voivodeship,967
Pomeranian Voivodeship,2618
Silesian Voivodeship,4560
Unknown,≤100
Warmian-Masurian Voivodeship,1554
West Pomeranian Voivodeship,2288
Łódź Voivodeship,2597
Świętokrzyskie Voivodeship,1055
