Location name,Amount spent (EGP)
Al Sharqia Governorate,4069
Alexandria Governorate,3331
Aswan Governorate,530
Asyut Governorate,1225
Beheira Governorate,1857
Beni Suef Governorate,928
Cairo Governorate,7323
Dakahlia Governorate,3960
Damietta Governorate,1109
Faiyum Governorate,786
Gharbia Governorate,2675
Giza Governorate,2802
Ismailia Governorate,773
Kafr el-Sheikh Governorate,1449
Luxor Governorate,348
Matrouh Governorate,152
Minya Governorate,1426
Monufia Governorate,2305
New Valley Governorate,152
North Sinai Governorate,283
Port Said Governorate,693
Qalyubia Governorate,2163
Qena Governorate,848
Red Sea Governorate,334
Sohag Governorate,1648
South Sinai Governorate,131
Suez Governorate,467
Unknown,≤100
