Location name,Amount spent (ZAR)
Eastern Cape,772
Free State,554
Gauteng,3872
KwaZulu-Natal,1349
Limpopo,338
Mpumalanga,443
North West,361
Northern Cape,296
Unknown,≤100
Western Cape,6676
