Location name,Amount spent (COP)
Amazonas,879
Antioquia,2804638
Arauca,9766
Atlantico,480333
Bolivar,281631
Boyaca,39344
Caldas,75271
Caqueta,115556
Casanare,12343
Cauca,148311
Cesar,54577
Choco,12355
Cordoba,138924
Cundinamarca,352049
Distrito Especial,2186439
Guainia,678
Guaviare,2390
Huila,96703
La Guajira,28053
Magdalena,71106
Meta,304758
Narino,49425
Norte de Santander,162984
Putumayo,8360
Quindio,85249
Risaralda,395991
San Andres y Providencia,4414
Santander,103555
Sucre,49335
Tolima,266068
Unknown,≤100
Valle del Cauca,1825862
Vaupes,228
Vichada,452
