Location name,Amount spent (SEK)
Blekinge County,3803
Dalarna County,7954
Gotland County,16253
Gävleborg County,7726
Halland County,8038
Jämtland County,4045
Jönköping County,9610
Kalmar County,6214
Kronoberg County,5551
Norrbotten County,6893
Skåne County,35251
Stockholm County,65093
Södermanland County,7971
Unknown,≤100
Uppsala County,10943
Värmland County,6888
Västerbotten County,7009
Västernorrland County,5916
Västmanland County,6920
Västra Götaland County,48594
Örebro County,8366
Östergötland County,11960
