Location name,Amount spent (GTQ)
Alta Verapaz Department,223
Baja Verapaz Department,≤100
Chimaltenango Department,136
Chiquimula Department,177
El Progreso Department,≤100
Escuintla Department,277
Guatemala Department,4009
Huehuetenango Department,332
Izabal Department,126
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,293
Quiché Department,180
Retalhuleu Department,≤100
Sacatepéquez Department,172
San Marcos Department,538
Santa Rosa Department,≤100
Sololá Department,≤100
Suchitepéquez Department,402
Totonicapán Department,≤100
Unknown,≤100
Zacapa Department,≤100
