Location name,Amount spent (EUR)
Carinthia Statistical Region,≤100
Central Sava Statistical Region,≤100
Central Slovenia Statistical Region,369
Coastal–Karst Statistical Region,215
Drava Statistical Region,976
Goriška Statistical Region,385
Littoral–Inner Carniola Statistical Region,≤100
Lower Sava Statistical Region,≤100
Mura Statistical Region,≤100
Savinja Statistical Region,160
Southeast Slovenia Statistical Region,≤100
Upper Carniola Statistical Region,143
