Location name,Amount spent (IDR)
Aceh,686234
Bali,1898988
Bangka–Belitung Islands,387803
Banten,3521173
Bengkulu,571995
Central Java,8796411
Central Kalimantan,644136
Central Sulawesi,766327
East Java,10802540
East Kalimantan,1392661
East Nusa Tenggara,1558766
Gorontalo,438114
Jakarta,6390171
Jambi,655092
Lampung,2457510
Maluku,350275
North Kalimantan,208363
North Maluku,248658
North Sulawesi,1348786
North Sumatra,5303814
Papua (province),643444
Riau,2472886
Riau Islands Province,760585
South Kalimantan,908046
South Sulawesi,2694494
South Sumatra,2638435
Southeast Sulawesi,531833
Special Region of Yogyakarta,1974095
Unknown,4708
West Java,9501804
West Kalimantan,1281398
West Nusa Tenggara,1125060
West Papua,314020
West Sulawesi,285366
West Sumatra,1079457
