Location name,Amount spent (CLP)
Antofagasta Region,108794
Araucanía Region,122373
Arica y Parinacota Region,19885
Atacama Region,26694
Aysén Region,44745
Bío Bío Region,286731
Coquimbo Region,132024
Los Lagos Region,104746
Los Ríos Region,40896
Magallanes y la Antártica Chilena Region,23120
Maule Region,106737
O'Higgins Region,90716
Santiago Metropolitan Region,1177360
Tarapacá Region,33264
Unknown,303
Valparaíso Region,259616
