Location name,Amount spent (TWD)
Changhua,12588
Chiayi,2804
Hsinchu,6909
Hsinchu City,9578
Hualien,4723
Kaohsiung,40938
Keelung City,5202
Kinmen,751
Lienchiang,≤100
Miaoli,6047
Nantou,9842
New Taipei City,64173
Penghu,1136
Pingtung,8699
Taichung,52453
Tainan,25164
Taipei,46490
Taitung,2624
Taoyuan City,40425
Unknown,5068
Yilan,4867
Yunlin,7313
