Location name,Amount spent (DKK)
Capital Region of Denmark,43503
Central Denmark Region,22202
Faroe Islands,≤100
Greenland,≤100
North Denmark Region,10288
Region of Southern Denmark,20314
Unknown,≤100
Zealand Region,13757
