Location name,Amount spent (COP)
Amazonas,3921
Antioquia,3828221
Arauca,71457
Atlantico,816492
Bolivar,225988
Boyaca,323261
Caldas,270044
Caqueta,81950
Casanare,66548
Cauca,206284
Cesar,147762
Choco,31649
Cordoba,354877
Cundinamarca,564977
Distrito Especial,3072647
Guainia,9918
Guaviare,31694
Huila,321343
La Guajira,74339
Magdalena,285513
Meta,308075
Narino,119240
Norte de Santander,377357
Putumayo,114067
Quindio,97241
Risaralda,802653
San Andres y Providencia,9123
Santander,1418964
Sucre,180087
Tolima,193444
Unknown,16139
Valle del Cauca,2178244
Vaupes,723
Vichada,1647
